6966184;;Japan;A photovoltaic power generating apparatus is provided which comprises a single solar cell element formed on a substrate and a plurality of power conversion devices individually connected to the solar cell element for converting an output of the solar cell element.;;;
6930238;;Japan;In a solar cell module-mounting structure, a solar cell module 101 is fixed on one surface of a plate-shaped member 102, the plate-shaped member 102 is placed on an installation surface so that one side of the plate-shaped member is in contact with the installation surface, a surface of the plate-shaped member 102 opposite to the solar cell module-fixing surface is in contact with a first support member 103, and out of surfaces including the one side of the plate-shaped member 102, at least a part of the surfaces in no contact with the first support member 103 is in contact with a second support member 103, thereby effectively preventing a solar cell module-mounting rack from being moved by a wind load.;;;
6882063;;Canada;"A DC to DC Converter includes an electrical circuit that allows batteries and other electrical energy storage devices to be charged from or to discharge to a variable voltage DC bus. This electrical circuit also enables seamless integration with other energy storage devices and/or DC power sources, such as fuel cells, to provide DC power for a Power Management System. A Power Management System preferably provides both full power source management and power conditioning. The Power Management System is able to manage power flow to and from multiple, isolated power sources and energy storage devices to deliver high quality alternating current (""AC"") power to a load.";;;
7126294;;Japan;A photovoltaic inverter control method includes steps of monitoring a variation in output voltage of a solar battery by a power and voltage monitoring circuit (51) and, when the variation occurs, accelerating or decelerating an electric motor (3) to maximize the output voltage of the solar battery (1), whereby the electric motor for driving, for example, a pump and a fan by the solar battery as a power source can be driven by a photovoltaic inverter always at the maximum power point of the solar battery.;;;
7000395;;Taiwan;A hybrid clean-energy power-supply framework integrates a fuel cell, solar cell, and wind energy, applies a max power tracking rule, raises the output power of a solar cell and wind energy to supply a power load and transfer the surplus electrical energy to a water-electrolyzing apparatus for producing hydrogen and oxygen, and provides a fuel for a fuel cell power generating system. Furthermore, the present invention utilizes features of each clean-energy power generating system, depends on the powerful calculation capacity of a central processing unit to monitor and dispatch each power generation and supply system, and thus ensures the reliability of supply power and reduces the power generation cost. Such a framework can selectively grid-connect with the utility power or run as a stand-alone power supply system and has a mechanism for preventing the island effect.;;;
7161082;;Japan;There are provided a restricted area including an area in which solar cell modules are installed, a preventer for preventing intrusion of an intruder into the restricted area, and a detector capable of detecting the intrusion of the intruder into the restricted area, and a predetermined electric shock preventer is activated by a signal outputted from the detector upon detection of the intruder to prevent the intruder from receiving an electric shock.;;;
7414870;;Germany;An inverter includes an intermediate circuit, inverter bridge branches downstream of the intermediate circuit for outputting a power signal, and a controller operable for individually turning on and off the inverter bridge branches. The controller may individually turn on and off the inverter bridge branches as a function of an electrical quantity. The electrical quantity may be indicative of a voltage or a change in voltage occurring in the intermediate circuit during operation of the inverter. The electrical quantity may be indicative of the output power signal. The inverter bridge branches may include three inverter bridge branches.;;;
7411802;;Germany;An inverter is devised to avoid high-frequency voltages at input terminals and to allow good efficiency thanks to its simple and cost-optimized circuit layout. This is achieved by a method of converting a direct current voltage, more specifically from a photovoltaic source of direct current voltage, into an alternating current voltage at a frequency through a bridge circuit comprising switching elements (V1-V 4) and free-wheeling elements (D1-D4), said switching elements (V1-V4) being on the one side gated at the frequency and on the other side clocked at a high clock rate, a direct current voltage circuit, an alternating current voltage circuit and a plurality of free-wheeling phases being provided. It is provided that, during the free-wheeling phases, the alternating current voltage circuit is decoupled from the direct current voltage circuit by means of a switching element disposed in the direct current voltage circuit, a free-wheeling current flowing through one of the free-wheeling elements (D1) in the bridge circuit when in the decoupled state.;;;
7338311;;Germany;The object of the invention is a protective device for a load carrying apparatus for preventing or reducing an electric arc during separation of the load current carrying plug connectors (2) using a switch (7) that reduces the load current to such an extent that the load current that remains is harmless, with a protective cover (5) for the load current plug connectors (2), said cover being securable to the apparatus and making it more difficult to remove the load current plug connectors (2) as long as it is secured to the apparatus, said protective cover (5) comprising a means that is operably connected to the switch in such a manner that the load current is reduced by the switch (7) when the protective cover is removed from the apparatus, said protective cover (5) comprising electrical contacts (10) for an electrical means and for electrical connection to additional contacts on the apparatus so that the contacts (10) of the protective cover (5) are separated from the additional contacts (11) and the load current is reduced when the protective cover is being removed.;;;
7471073;;Germany;A method of finding a power maximum of a photovoltaic generator using an MPP regulator of a photovoltaic current converter by means of which a maximum generator power is set at an operating point of the generator's characteristic curve is intended to supply improved efficiency when the generator is partially shadowed. This is achieved by switching the MPP regulator off in order to next load and/or unload the generator to allow a new operating point of the generator's characteristic curve to set and by next switching the MPP regulator on again.;;;
