6940735,"Dearborn, MI",MI,USA,"A power converter system advantageously employs a modular, bi-directionally symmetrical power converter assembly in a readily customizable configuration to interconnect a direct current power source to a three-phase alternating power grid. Connections external to the power converter assembly are selected to optimize the power converter system for a specific application, such as interconnecting a photovoltaic array to the three-phase electrical power grid. The electrical interconnections of various elements including isolation transformers, voltage sensors, and control switches are optimized to improve efficiency and reliability."
6966184,"Tokyo, Japan",,Japan,A photovoltaic power generating apparatus is provided which comprises a single solar cell element formed on a substrate and a plurality of power conversion devices individually connected to the solar cell element for converting an output of the solar cell element.
6930238,Tokyo,,Japan,"In a solar cell module-mounting structure, a solar cell module 101 is fixed on one surface of a plate-shaped member 102, the plate-shaped member 102 is placed on an installation surface so that one side of the plate-shaped member is in contact with the installation surface, a surface of the plate-shaped member 102 opposite to the solar cell module-fixing surface is in contact with a first support member 103, and out of surfaces including the one side of the plate-shaped member 102, at least a part of the surfaces in no contact with the first support member 103 is in contact with a second support member 103, thereby effectively preventing a solar cell module-mounting rack from being moved by a wind load."
6959517,"Perrysburg, OH",OH,USA,A mounting bracket mounts a photovoltaic module to a support structure.
6959517,"Perrysburg, OH",OH,USA,A mounting bracket mounts a photovoltaic module to a support structure.
6959517,"Perrysburg, OH",OH,USA,A mounting bracket mounts a photovoltaic module to a support structure.
6882063,Calgary,,Canada,"A DC to DC Converter includes an electrical circuit that allows batteries and other electrical energy storage devices to be charged from or to discharge to a variable voltage DC bus. This electrical circuit also enables seamless integration with other energy storage devices and/or DC power sources, such as fuel cells, to provide DC power for a Power Management System. A Power Management System preferably provides both full power source management and power conditioning. The Power Management System is able to manage power flow to and from multiple, isolated power sources and energy storage devices to deliver high quality alternating current (""AC"") power to a load."
6949843,"Columbia, MD",MD,USA,"A grid-connected power system includes a primary power source, a back-up power source, a DC/AC inverter and a DC/DC converter. Direct current from the primary power source is supplied to the DC/AC inverter to obtain an alternating current output supplied to a utility grid when power from the utility grid is available to power a load. The output of the inverter is supplied to a selected portion of the load when power from the utility grid is unavailable to the load. Direct current from the back-up power source is supplied to the inverter through a DC/DC converter when power from the utility grid is unavailable to the load. The DC/DC converter converts the voltage of direct current from the back-up power source to direct current having a voltage compatible with the voltage of the primary power source and the inverter. The back-up power source may be charged by the primary power source or by the utility grid. Methods of providing back-up power include converting the voltage of direct current from a back-up power source to direct current of converted voltage and supplying the direct current of converted voltage to a DC/AC inverter."
6928775,"(Tucson, AZ)",AZ,USA,"A multiuse electric tile module for walling, flooring, or roofing applications having a photovoltaic cell, thermovoltaic cell, electroluminescent material, or a combination of these disposed over a rigid substrate, such as ceramic. Each tile is electrically connectable through a male-to-female connecter to at least one adjacent tile without external wiring. Preferably, a sealing layer is disposed over the electrical elements and rigid substrate to seal and protect each tile. Optionally, each tile may further include an inverter to convert direct current to alternating current or a battery to store electricity. The electroluminescent material provides light for architectural accents or nighttime visibility."
7126294,"Tokyo, Japan",,Japan,"A photovoltaic inverter control method includes steps of monitoring a variation in output voltage of a solar battery by a power and voltage monitoring circuit (51) and, when the variation occurs, accelerating or decelerating an electric motor (3) to maximize the output voltage of the solar battery (1), whereby the electric motor for driving, for example, a pump and a fan by the solar battery as a power source can be driven by a photovoltaic inverter always at the maximum power point of the solar battery."
